t	v
0	-66.9688
0.025	-66.9689
0.05	-66.969
0.075	-66.9691
0.1	-66.9691
0.125	-66.9692
0.15	-66.9693
0.175	-66.9694
0.2	-66.9695
0.225	-66.9695
0.25	-66.9696
0.275	-66.9697
0.3	-66.9698
0.325	-66.9699
0.35	-66.9699
0.375	-66.97
0.4	-66.9701
0.425	-66.9702
0.45	-66.9702
0.475	-66.9703
0.5	-66.9704
0.525	-66.9705
0.55	-66.9706
0.575	-66.9706
0.6	-66.9707
0.625	-66.9708
0.65	-66.9709
0.675	-66.9709
0.7	-66.971
0.725	-66.9711
0.75	-66.9712
0.775	-66.9712
0.8	-66.9713
0.825	-66.9714
0.85	-66.9715
0.875	-66.9715
0.9	-66.9716
0.925	-66.9717
0.95	-66.9718
0.975	-66.9718
1	-66.9719
1.025	-66.972
1.05	-66.9721
1.075	-66.9721
1.1	-66.9722
1.125	-66.9723
1.15	-66.9724
1.175	-66.9724
1.2	-66.9725
1.225	-66.9726
1.25	-66.9727
1.275	-66.9727
1.3	-66.9728
1.325	-66.9729
1.35	-66.9729
1.375	-66.973
1.4	-66.9731
1.425	-66.9732
1.45	-66.9732
1.475	-66.9733
1.5	-66.9734
1.525	-66.9735
1.55	-66.9735
1.575	-66.9736
1.6	-66.9737
1.625	-66.9737
1.65	-66.9738
1.675	-66.9739
1.7	-66.974
1.725	-66.974
1.75	-66.9741
1.775	-66.9742
1.8	-66.9742
1.825	-66.9743
1.85	-66.9744
1.875	-66.9745
1.9	-66.9745
1.925	-66.9746
1.95	-66.9747
1.975	-66.9747
2	-66.9748
2.025	-66.9749
2.05	-66.9749
2.075	-66.975
2.1	-66.9751
2.125	-66.9752
2.15	-66.9752
2.175	-66.9753
2.2	-66.9754
2.225	-66.9754
2.25	-66.9755
2.275	-66.9756
2.3	-66.9756
2.325	-66.9757
2.35	-66.9758
2.375	-66.9758
2.4	-66.9759
2.425	-66.976
2.45	-66.9761
2.475	-66.9761
2.5	-66.9762
2.525	-66.9763
2.55	-66.9763
2.575	-66.9764
2.6	-66.9765
2.625	-66.9765
2.65	-66.9766
2.675	-66.9767
2.7	-66.9767
2.725	-66.9768
2.75	-66.9769
2.775	-66.9769
2.8	-66.977
2.825	-66.9771
2.85	-66.9771
2.875	-66.9772
2.9	-66.9773
2.925	-66.9773
2.95	-66.9774
2.975	-66.9775
3	-66.9775
3.025	-66.9776
3.05	-66.9777
3.075	-66.9777
3.1	-66.9778
3.125	-66.9778
3.15	-66.9778
3.175	-66.9777
3.2	-66.9774
3.225	-66.9769
3.25	-66.9762
3.275	-66.9754
3.3	-66.9743
3.325	-66.973
3.35	-66.9713
3.375	-66.9695
3.4	-66.9673
3.425	-66.9649
3.45	-66.9623
3.475	-66.9594
3.5	-66.9563
3.525	-66.9529
3.55	-66.9491
3.575	-66.945
3.6	-66.9406
3.625	-66.9358
3.65	-66.9306
3.675	-66.9251
3.7	-66.9192
3.725	-66.9129
3.75	-66.9062
3.775	-66.8992
3.8	-66.8917
3.825	-66.8838
3.85	-66.8754
3.875	-66.8665
3.9	-66.8572
3.925	-66.8474
3.95	-66.8371
3.975	-66.8264
4	-66.8153
4.025	-66.8037
4.05	-66.7916
4.075	-66.779
4.1	-66.7658
4.125	-66.7523
4.15	-66.7382
4.175	-66.7237
4.2	-66.7087
4.225	-66.6933
4.25	-66.6775
4.275	-66.6612
4.3	-66.6443
4.325	-66.6269
4.35	-66.6088
4.375	-66.5901
4.4	-66.5708
4.425	-66.5509
4.45	-66.5304
4.475	-66.5094
4.5	-66.4877
4.525	-66.4655
4.55	-66.4427
4.575	-66.4194
4.6	-66.3956
4.625	-66.3712
4.65	-66.3462
4.675	-66.3207
4.7	-66.2946
4.725	-66.268
4.75	-66.2409
4.775	-66.2133
4.8	-66.1852
4.825	-66.1567
4.85	-66.1276
4.875	-66.0981
4.9	-66.0682
4.925	-66.0377
4.95	-66.0068
4.975	-65.9754
5	-65.9435
5.025	-65.9112
5.05	-65.8784
5.075	-65.8452
5.1	-65.8116
5.125	-65.7776
5.15	-65.7432
5.175	-65.7084
5.2	-65.6732
5.225	-65.6377
5.25	-65.6019
5.275	-65.5657
5.3	-65.5292
5.325	-65.4924
5.35	-65.4553
5.375	-65.418
5.4	-65.3803
5.425	-65.3424
5.45	-65.3043
5.475	-65.2658
5.5	-65.2272
5.525	-65.1884
5.55	-65.1493
5.575	-65.11
5.6	-65.0705
5.625	-65.0307
5.65	-64.9908
5.675	-64.9506
5.7	-64.9102
5.725	-64.8696
5.75	-64.8287
5.775	-64.7876
5.8	-64.7462
5.825	-64.7045
5.85	-64.6625
5.875	-64.6203
5.9	-64.5777
5.925	-64.5349
5.95	-64.4918
5.975	-64.4484
6	-64.4047
6.025	-64.3607
6.05	-64.3164
6.075	-64.2718
6.1	-64.2268
6.125	-64.1815
6.15	-64.136
6.175	-64.0901
6.2	-64.0439
6.225	-63.9975
6.25	-63.9508
6.275	-63.9038
6.3	-63.8566
6.325	-63.8091
6.35	-63.7614
6.375	-63.7135
6.4	-63.6654
6.425	-63.6171
6.45	-63.5686
6.475	-63.5199
6.5	-63.4711
6.525	-63.422
6.55	-63.3728
6.575	-63.3233
6.6	-63.2737
6.625	-63.2238
6.65	-63.1738
6.675	-63.1236
6.7	-63.0733
6.725	-63.0228
6.75	-62.9722
6.775	-62.9214
6.8	-62.8705
6.825	-62.8194
6.85	-62.7681
6.875	-62.7167
6.9	-62.6652
6.925	-62.6135
6.95	-62.5615
6.975	-62.5094
7	-62.4571
7.025	-62.4046
7.05	-62.352
7.075	-62.2992
7.1	-62.2462
7.125	-62.1932
7.15	-62.1399
7.175	-62.0865
7.2	-62.0329
7.225	-61.9792
7.25	-61.9252
7.275	-61.8709
7.3	-61.8164
7.325	-61.7615
7.35	-61.7063
7.375	-61.6509
