source	target	synapse
11874	335846	29
11874	335846	29
11874	335846	25
11874	335846	21
11874	335846	22
11874	335846	29
11874	335846	27
12604	335846	26
12604	335846	28
12604	335846	20
12604	335846	25
12604	335846	29
12604	335846	21
12604	335846	22
12604	335846	23
12604	335846	23
12604	335846	33
12086	335846	23
12086	335846	26
12086	335846	32
12086	335846	21
12086	335846	33
12086	335846	22
12086	335846	33
12086	335846	22
12086	335846	24
12086	335846	27
12181	335846	23
12181	335846	21
12181	335846	24
12181	335846	20
12181	335846	23
12181	335846	19
12181	335846	30
12181	335846	23
12181	335846	32
12181	335846	27
12262	335846	26
12262	335846	19
12262	335846	27
12262	335846	23
12262	335846	27
12262	335846	25
12262	335846	27
12262	335846	31
12262	335846	30
12262	335846	33
12330	335846	28
12330	335846	25
12330	335846	31
12330	335846	22
12330	335846	21
12330	335846	26
12330	335846	24
12330	335846	21
12330	335846	28
12330	335846	33
12114	335846	26
12114	335846	25
12114	335846	31
12114	335846	30
12114	335846	32
12114	335846	19
12114	335846	32
12114	335846	30
12114	335846	25
12114	335846	22
12816	335846	23
12816	335846	20
12816	335846	25
12816	335846	26
12816	335846	31
12816	335846	24
12816	335846	33
12816	335846	22
12816	335846	32
12816	335846	23
11663	335846	19
11663	335846	28
11663	335846	30
11663	335846	27
11663	335846	19
11663	335846	33
11663	335846	33
11663	335846	28
11663	335846	26
11663	335846	25
12096	335846	23
12096	335846	29
12096	335846	20
12096	335846	33
12096	335846	28
12096	335846	19
12096	335846	23
12096	335846	25
12096	335846	21
12096	335846	32
20538	335846	68
20538	335846	69
20538	335846	63
20538	335846	63
20538	335846	60
20538	335846	66
20538	335846	56
20538	335846	65
20538	335846	56
20538	335846	68
20504	335846	72
20504	335846	56
20504	335846	57
20504	335846	65
20504	335846	69
20504	335846	66
20504	335846	72
20504	335846	61
20504	335846	54
20504	335846	65
20555	335846	56
20555	335846	69
20555	335846	54
20555	335846	57
20555	335846	56
20555	335846	57
20555	335846	70
20555	335846	57
20555	335846	61
20555	335846	64
20586	335846	58
20586	335846	62
20586	335846	65
20586	335846	73
20586	335846	69
20586	335846	69
20586	335846	57
20586	335846	70
20586	335846	70
20586	335846	72
20568	335846	70
20568	335846	61
20568	335846	73
20568	335846	55
20568	335846	56
20568	335846	73
20568	335846	62
20568	335846	55
20568	335846	69
20568	335846	69
20585	335846	64
20585	335846	71
20585	335846	69
20585	335846	73
20585	335846	70
20585	335846	61
20585	335846	54
20585	335846	57
20585	335846	61
20585	335846	57
20617	335846	73
20617	335846	67
20617	335846	58
20617	335846	63
20617	335846	56
20617	335846	60
20617	335846	56
20617	335846	60
20617	335846	66
20617	335846	64
20456	335846	59
20456	335846	73
20456	335846	70
20456	335846	55
20456	335846	61
20456	335846	69
20456	335846	73
20456	335846	62
20456	335846	57
20456	335846	62
188709	335846	85
188709	335846	90
188709	335846	82
185934	335846	90
185934	335846	92
185934	335846	87
195173	335846	90
195173	335846	87
195173	335846	75
191159	335846	88
191159	335846	92
191159	335846	87
193280	335846	96
193280	335846	78
193280	335846	87
209994	335846	90
209994	335846	93
209994	335846	81
198041	335846	89
198041	335846	83
198041	335846	82
189396	335846	95
189396	335846	82
189396	335846	90
187029	335846	95
187029	335846	81
187029	335846	87
204861	335846	87
204861	335846	79
204861	335846	94
189840	335846	87
189840	335846	89
189840	335846	80
199198	335846	84
199198	335846	84
199198	335846	74
197403	335846	78
197403	335846	76
197403	335846	94
202057	335846	86
202057	335846	91
202057	335846	75
202557	335846	86
202557	335846	83
202557	335846	94
188725	335846	92
188725	335846	84
188725	335846	94
199229	335846	84
199229	335846	83
199229	335846	97
181308	335846	89
181308	335846	92
181308	335846	88
183594	335846	93
183594	335846	91
183594	335846	92
197303	335846	74
197303	335846	74
197303	335846	78
193874	335846	87
193874	335846	85
193874	335846	93
200249	335846	86
200249	335846	94
200249	335846	91
187123	335846	87
187123	335846	74
187123	335846	76
204804	335846	74
204804	335846	81
204804	335846	80
195215	335846	77
195215	335846	93
195215	335846	74
200261	335846	97
200261	335846	94
200261	335846	80
190568	335846	76
190568	335846	85
190568	335846	79
193367	335846	87
193367	335846	76
193367	335846	90
191043	335846	95
191043	335846	88
191043	335846	84
198624	335846	81
198624	335846	92
198624	335846	92
185232	335846	96
185232	335846	84
185232	335846	81
205530	335846	88
205530	335846	91
205530	335846	84
190027	335846	93
190027	335846	83
190027	335846	74
182394	335846	81
182394	335846	90
182394	335846	79
189846	335846	95
189846	335846	80
189846	335846	96
193294	335846	74
193294	335846	91
193294	335846	91
192104	335846	97
192104	335846	80
192104	335846	96
191566	335846	81
191566	335846	95
191566	335846	91
198004	335846	90
198004	335846	75
198004	335846	89
187528	335846	79
187528	335846	78
187528	335846	93
