0	0
0.5	5.95195e-24
1	1.95267e-25
1.5	-2.46982e-24
2	-4.52883e-24
2.5	2.86709e-24
3	-4.12552e-25
3.5	4.75514e-08
4	1.50079e-07
4.5	1.66592e-07
5	7.6402e-08
5.5	-1.91417e-07
6	-5.1019e-07
6.5	-6.1975e-07
7	-6.02467e-07
7.5	-9.42119e-07
8	-1.13239e-06
8.5	-1.1307e-06
9	-1.21644e-06
9.5	-1.37395e-06
10	-1.40048e-06
10.5	-1.72601e-06
11	-2.28953e-06
11.5	-3.03187e-06
12	-3.86063e-06
12.5	-4.54917e-06
13	-5.37332e-06
13.5	-5.86411e-06
14	-6.06258e-06
14.5	-5.51404e-06
15	-3.6586e-06
15.5	-1.34403e-06
16	-1.24583e-06
16.5	-4.42617e-06
17	-6.74635e-06
17.5	-9.12849e-06
18	-1.30489e-05
18.5	-1.36391e-05
19	-1.21491e-05
19.5	-1.06834e-05
20	-9.67575e-06
20.5	-7.07895e-06
21	-1.14024e-05
21.5	-1.08986e-05
22	-1.00497e-05
22.5	-9.53079e-06
23	-9.25774e-06
23.5	-9.1877e-06
24	-1.87823e-05
24.5	-2.78064e-05
25	-3.05087e-05
25.5	-3.79632e-05
26	-8.46356e-05
26.5	-6.2414e-06
27	-2.09304e-05
27.5	7.98514e-05
28	-0.000143829
28.5	-5.89037e-05
29	-6.04097e-05
29.5	-9.94144e-05
30	-0.000114331
30.5	3.14882e-05
31	-1.54684e-05
31.5	0.000105051
32	0.0004005
32.5	4.08342e-05
33	-0.000415701
33.5	-0.000188267
34	-6.35503e-05
34.5	-3.48498e-05
35	-4.93211e-06
35.5	2.40553e-05
36	3.27331e-05
36.5	1.41693e-05
37	7.85572e-06
37.5	3.22326e-06
38	-1.59878e-06
38.5	-4.94346e-06
39	-9.52229e-06
39.5	-1.44713e-05
40	-1.55588e-05
40.5	-1.46757e-05
41	-1.2661e-05
41.5	-1.06909e-05
42	-9.29869e-06
42.5	-8.45241e-06
43	-7.78458e-06
43.5	-7.14357e-06
44	-6.4775e-06
44.5	-5.86325e-06
45	-5.45872e-06
45.5	-5.19781e-06
46	-5.1786e-06
46.5	-5.3285e-06
47	-5.62153e-06
47.5	-5.87054e-06
48	-6.00749e-06
48.5	-2.31498e-06
49	1.1272e-07
49.5	-5.44536e-07
50	3.55881e-07
50.5	4.86943e-07
51	-9.13356e-07
51.5	-3.17178e-06
52	-1.7357e-06
52.5	-3.79035e-06
53	-5.66219e-06
53.5	-6.80388e-06
54	-7.29705e-06
54.5	-7.4983e-06
55	-7.60779e-06
55.5	-7.66725e-06
56	-7.99349e-06
56.5	-8.25009e-06
57	-8.52071e-06
57.5	-8.6934e-06
58	-8.82674e-06
58.5	-8.95392e-06
59	-8.97348e-06
59.5	-9.01106e-06
60	-9.13183e-06
60.5	-9.67932e-06
61	-1.03483e-05
61.5	-1.1132e-05
62	-1.19324e-05
62.5	-1.22737e-05
63	-1.05067e-05
63.5	-1.158e-05
64	-1.27637e-05
64.5	-1.23233e-05
65	-8.89519e-06
65.5	-9.77051e-06
66	-1.03916e-05
66.5	-1.08696e-05
67	-1.25699e-05
67.5	-1.26616e-05
68	-1.43412e-05
68.5	-1.51208e-05
69	-1.53702e-05
69.5	-1.65248e-05
70	-1.63135e-05
70.5	-1.62143e-05
71	-1.60577e-05
71.5	-1.56358e-05
72	-1.50831e-05
72.5	-1.4565e-05
73	-1.41515e-05
73.5	-1.38452e-05
74	-1.38175e-05
74.5	-1.37686e-05
75	-1.35651e-05
75.5	-1.31918e-05
76	-1.28384e-05
76.5	-1.25509e-05
77	-1.22895e-05
77.5	-1.20121e-05
78	-1.19719e-05
78.5	-1.11181e-05
79	-1.10133e-05
79.5	-1.11643e-05
80	-8.86884e-06
80.5	-5.35814e-06
81	-4.95209e-06
81.5	-5.22262e-06
82	-5.98599e-06
82.5	-7.37602e-06
83	-1.46277e-05
83.5	-1.264e-05
84	-1.20824e-05
84.5	-1.20299e-05
85	-1.1698e-05
85.5	-1.1203e-05
86	-1.0718e-05
86.5	-1.06841e-05
87	-1.06937e-05
87.5	-1.06082e-05
88	-1.03608e-05
88.5	-9.97571e-06
89	-9.76593e-06
89.5	-9.60133e-06
90	-9.28724e-06
90.5	-8.98453e-06
91	-8.74309e-06
91.5	-8.53916e-06
92	-8.46361e-06
92.5	-8.36486e-06
93	-8.23884e-06
93.5	-8.14063e-06
94	-7.85881e-06
94.5	-7.24421e-06
95	-6.05268e-06
95.5	-3.12234e-06
96	-4.47315e-06
96.5	-1.09796e-05
97	-1.02872e-05
97.5	-9.22877e-06
98	-1.08835e-05
98.5	-1.18291e-05
99	-1.23603e-05
99.5	-1.16876e-05
100	-1.09572e-05
100.5	-1.06923e-05
101	-1.07593e-05
101.5	-1.07777e-05
102	-1.3021e-05
102.5	-1.29734e-05
103	-2.15748e-05
103.5	-1.69706e-05
104	-1.42963e-05
104.5	-1.36652e-05
105	-1.35423e-05
105.5	-1.371e-05
106	-1.38577e-05
106.5	-1.8715e-05
107	-2.39882e-05
107.5	-2.76758e-05
108	-2.35013e-05
108.5	-1.70587e-05
109	-1.89659e-05
109.5	-1.57679e-05
110	-2.70667e-05
110.5	-2.85085e-05
111	-3.29234e-05
111.5	-0.000140374
112	0.000102856
112.5	0.000364979
113	3.13921e-05
113.5	-0.000176563
114	-8.73513e-05
114.5	-6.34878e-05
115	-7.55895e-05
115.5	-6.80702e-05
116	-4.55205e-05
116.5	-5.43203e-05
117	-0.000122736
117.5	0.000109411
118	4.99097e-05
118.5	0.000150124
119	-0.000365053
119.5	-0.000201033
120	-7.22759e-05
120.5	-8.02008e-05
121	-7.1711e-05
121.5	-1.34687e-05
122	6.72896e-05
122.5	-1.38812e-05
123	-6.03447e-05
123.5	-4.2137e-05
124	-4.58208e-05
124.5	-4.91743e-05
125	-2.81495e-05
125.5	-8.22508e-06
126	-1.14219e-05
126.5	-1.30171e-05
127	-2.05768e-05
127.5	-2.56023e-05
128	-2.36233e-05
128.5	-1.97516e-05
129	-1.85428e-05
129.5	-1.62762e-05
130	-1.42368e-05
130.5	-1.29482e-05
131	-1.21373e-05
131.5	-1.16728e-05
132	-1.15904e-05
132.5	-1.16526e-05
133	-1.17662e-05
133.5	-1.13181e-05
134	-1.1467e-05
134.5	-1.16292e-05
135	-1.16783e-05
135.5	-1.18021e-05
136	-7.8754e-06
136.5	-5.44286e-06
137	-5.66496e-06
137.5	-7.92999e-06
138	-8.29234e-06
138.5	-9.44881e-06
139	-1.09464e-05
139.5	-1.15079e-05
140	-1.21841e-05
140.5	-1.15173e-05
141	-1.20269e-05
141.5	-1.25913e-05
142	-1.29566e-05
142.5	-1.3136e-05
143	-1.30797e-05
143.5	-1.29016e-05
144	-1.28198e-05
144.5	-1.26914e-05
145	-1.23744e-05
145.5	-1.18748e-05
146	-1.12566e-05
146.5	-1.0828e-05
147	-1.07814e-05
147.5	-1.10758e-05
148	-1.13093e-05
148.5	-1.14254e-05
149	-1.14738e-05
149.5	-1.14304e-05
150	-1.13453e-05
150.5	-1.12543e-05
151	-9.90791e-06
151.5	-3.23448e-06
152	-1.27035e-06
152.5	-3.852e-06
153	-6.01194e-06
153.5	-9.29571e-06
154	-1.19286e-05
154.5	-1.3509e-05
