source	target	synapse
1955	2020	0
1955	2020	2
1955	2020	1
1955	2020	14
1955	2020	6
1955	2020	0
1955	2020	9
1955	2020	12
1955	2020	12
1955	2020	3
2065	2020	0
2065	2020	7
2065	2020	8
2065	2020	13
2065	2020	0
2065	2020	6
2065	2020	9
2065	2020	6
2065	2020	11
2065	2020	12
2066	2020	6
2066	2020	13
2066	2020	2
2066	2020	4
2066	2020	9
2066	2020	6
2066	2020	6
2066	2020	8
2066	2020	13
2066	2020	13
2001	2020	12
2001	2020	4
2001	2020	10
2001	2020	11
2001	2020	7
2001	2020	12
2001	2020	1
2001	2020	5
2001	2020	3
2001	2020	8
2110	2020	14
2110	2020	5
2110	2020	12
2110	2020	4
2110	2020	4
2110	2020	5
2110	2020	3
2110	2020	14
2110	2020	12
2110	2020	5
2024	2020	14
2024	2020	7
2024	2020	6
2024	2020	3
2024	2020	5
2024	2020	0
2024	2020	6
2024	2020	4
2024	2020	2
2024	2020	1
1976	2020	4
1976	2020	12
1976	2020	9
1976	2020	14
1976	2020	1
1976	2020	5
1976	2020	10
1976	2020	8
1976	2020	7
1976	2020	13
1934	2020	13
1934	2020	10
1934	2020	4
1934	2020	2
1934	2020	6
1934	2020	3
1934	2020	13
1934	2020	1
1934	2020	8
1934	2020	11
2046	2020	1
2046	2020	6
2046	2020	10
2046	2020	3
2046	2020	9
2046	2020	6
2046	2020	1
2046	2020	2
2046	2020	14
2046	2020	2
1957	2020	0
1957	2020	10
1957	2020	14
1957	2020	2
1957	2020	13
1957	2020	7
1957	2020	11
1957	2020	5
1957	2020	9
1957	2020	10
1956	2020	5
1956	2020	7
1956	2020	1
1956	2020	5
1956	2020	0
1956	2020	10
1956	2020	12
1956	2020	2
1956	2020	13
1956	2020	14
2086	2020	13
2086	2020	11
2086	2020	8
2086	2020	1
2086	2020	12
2086	2020	14
2086	2020	0
2086	2020	1
2086	2020	4
2086	2020	11
2043	2020	2
2043	2020	4
2043	2020	11
2043	2020	11
2043	2020	14
2043	2020	6
2043	2020	8
2043	2020	8
2043	2020	4
2043	2020	5
1932	2020	6
1932	2020	9
1932	2020	13
1932	2020	0
1932	2020	2
1932	2020	2
1932	2020	10
1932	2020	8
1932	2020	3
1932	2020	3
1824	2020	0
1824	2020	2
1824	2020	6
1824	2020	3
1824	2020	9
1824	2020	1
1824	2020	9
1824	2020	14
1824	2020	5
1824	2020	13
2094	2020	8
2094	2020	7
2094	2020	7
2094	2020	10
2094	2020	13
2094	2020	1
2094	2020	2
2094	2020	7
2094	2020	14
2094	2020	7
4409	2020	18
4409	2020	15
4409	2020	17
4409	2020	16
4409	2020	17
4409	2020	15
4409	2020	16
4409	2020	18
4694	2020	18
4694	2020	16
4694	2020	17
4694	2020	18
4694	2020	16
4694	2020	18
4694	2020	18
4694	2020	17
4696	2020	17
4696	2020	16
4696	2020	15
4696	2020	16
4696	2020	15
4696	2020	15
4696	2020	18
4696	2020	17
4436	2020	17
4436	2020	18
4436	2020	18
4436	2020	18
4436	2020	16
4436	2020	16
4436	2020	17
4436	2020	18
4463	2020	17
4463	2020	17
4463	2020	15
4463	2020	18
4463	2020	15
4463	2020	17
4463	2020	16
4463	2020	16
4593	2020	17
4593	2020	16
4593	2020	18
