t	v
0	-65.0112
0.025	-65.0112
0.05	-65.0112
0.075	-65.0112
0.1	-65.0112
0.125	-65.0112
0.15	-65.0112
0.175	-65.0112
0.2	-65.0112
0.225	-65.0112
0.25	-65.0112
0.275	-65.0112
0.3	-65.0112
0.325	-65.0112
0.35	-65.0112
0.375	-65.0112
0.4	-65.0112
0.425	-65.0112
0.45	-65.0112
0.475	-65.0113
0.5	-65.0113
0.525	-65.0113
0.55	-65.0113
0.575	-65.0113
0.6	-65.0113
0.625	-65.0113
0.65	-65.0113
0.675	-65.0113
0.7	-65.0113
0.725	-65.0113
0.75	-65.0113
0.775	-65.0113
0.8	-65.0113
0.825	-65.0113
0.85	-65.0113
0.875	-65.0113
0.9	-65.0113
0.925	-65.0113
0.95	-65.0113
0.975	-65.0113
1	-65.0113
1.025	-65.0113
1.05	-65.0114
1.075	-65.0114
1.1	-65.0114
1.125	-65.0114
1.15	-65.0114
1.175	-65.0114
1.2	-65.0114
1.225	-65.0114
1.25	-65.0114
1.275	-65.0114
1.3	-65.0114
1.325	-65.0114
1.35	-65.0114
1.375	-65.0114
1.4	-65.0114
1.425	-65.0114
1.45	-65.0114
1.475	-65.0114
1.5	-65.0114
1.525	-65.0114
1.55	-65.0114
1.575	-65.0114
1.6	-65.0114
1.625	-65.0114
1.65	-65.0115
1.675	-65.0115
1.7	-65.0115
1.725	-65.0115
1.75	-65.0115
1.775	-65.0115
1.8	-65.0115
1.825	-65.0115
1.85	-65.0115
1.875	-65.0115
1.9	-65.0115
1.925	-65.0115
1.95	-65.0115
1.975	-65.0115
2	-65.0115
2.025	-65.0115
2.05	-65.0115
2.075	-65.0115
2.1	-65.0115
2.125	-65.0115
2.15	-65.0115
2.175	-65.0115
2.2	-65.0115
2.225	-65.0115
2.25	-65.0115
2.275	-65.0115
2.3	-65.0116
2.325	-65.0116
2.35	-65.0116
2.375	-65.0116
2.4	-65.0116
2.425	-65.0116
2.45	-65.0116
2.475	-65.0116
2.5	-65.0116
2.525	-65.0116
2.55	-65.0116
2.575	-65.0116
2.6	-65.0116
2.625	-65.0116
2.65	-65.0116
2.675	-65.0116
2.7	-65.0116
2.725	-65.0116
2.75	-65.0116
2.775	-65.0116
2.8	-65.0116
2.825	-65.0116
2.85	-65.0116
2.875	-65.0116
2.9	-65.0116
2.925	-65.0116
2.95	-65.0116
2.975	-65.0116
3	-65.0117
3.025	-65.0117
3.05	-65.0117
3.075	-65.0117
3.1	-65.0117
3.125	-65.0117
3.15	-65.0117
3.175	-65.0117
3.2	-65.0117
3.225	-65.0117
3.25	-65.0117
3.275	-65.0117
3.3	-65.0117
3.325	-65.0117
3.35	-65.0117
3.375	-65.0117
3.4	-65.0117
3.425	-65.0117
3.45	-65.0117
3.475	-65.0117
3.5	-65.0117
3.525	-65.0117
3.55	-65.0117
3.575	-65.0117
3.6	-65.0117
3.625	-65.0117
3.65	-65.0117
3.675	-65.0117
3.7	-65.0117
3.725	-65.0116
3.75	-65.0114
3.775	-65.0111
3.8	-65.0108
3.825	-65.0104
3.85	-65.0099
3.875	-65.0094
3.9	-65.0088
3.925	-65.0082
3.95	-65.0075
3.975	-65.0067
4	-65.0059
4.025	-65.005
4.05	-65.0041
4.075	-65.0031
4.1	-65.0021
4.125	-65.0011
4.15	-65
4.175	-64.9988
4.2	-64.9977
4.225	-64.9964
4.25	-64.9952
4.275	-64.9939
4.3	-64.9925
4.325	-64.9911
4.35	-64.9896
4.375	-64.9879
4.4	-64.9861
4.425	-64.9841
4.45	-64.982
4.475	-64.9796
4.5	-64.9772
4.525	-64.9745
4.55	-64.9718
4.575	-64.9689
4.6	-64.9658
4.625	-64.9625
4.65	-64.959
4.675	-64.9553
4.7	-64.9515
4.725	-64.9475
4.75	-64.9433
4.775	-64.9389
4.8	-64.9344
4.825	-64.9297
4.85	-64.9249
4.875	-64.9199
4.9	-64.9148
4.925	-64.9095
4.95	-64.9042
4.975	-64.8986
5	-64.893
5.025	-64.8872
5.05	-64.8814
5.075	-64.8754
5.1	-64.8693
5.125	-64.8631
5.15	-64.8568
5.175	-64.8504
5.2	-64.8438
5.225	-64.8371
5.25	-64.8302
5.275	-64.8232
5.3	-64.8161
5.325	-64.8088
5.35	-64.8014
5.375	-64.7938
5.4	-64.7862
5.425	-64.7784
5.45	-64.7704
5.475	-64.7622
5.5	-64.7539
5.525	-64.7454
5.55	-64.7368
5.575	-64.728
5.6	-64.719
5.625	-64.7099
5.65	-64.7007
5.675	-64.6913
5.7	-64.6818
5.725	-64.6722
5.75	-64.6625
5.775	-64.6526
5.8	-64.6426
5.825	-64.6324
5.85	-64.6221
5.875	-64.6116
5.9	-64.6009
5.925	-64.59
5.95	-64.5789
5.975	-64.5677
6	-64.5562
6.025	-64.5446
6.05	-64.5327
6.075	-64.5207
6.1	-64.5085
6.125	-64.4961
6.15	-64.4835
6.175	-64.4707
6.2	-64.4578
6.225	-64.4446
6.25	-64.4314
6.275	-64.4179
6.3	-64.4043
6.325	-64.3906
6.35	-64.3766
6.375	-64.3626
6.4	-64.3484
6.425	-64.3341
6.45	-64.3196
6.475	-64.3051
6.5	-64.2903
6.525	-64.2755
6.55	-64.2606
6.575	-64.2456
6.6	-64.2304
6.625	-64.2152
6.65	-64.1998
6.675	-64.1844
6.7	-64.1689
6.725	-64.1533
6.75	-64.1376
6.775	-64.1218
6.8	-64.106
6.825	-64.0901
6.85	-64.0741
6.875	-64.0581
6.9	-64.042
6.925	-64.0258
6.95	-64.0096
6.975	-63.9934
7	-63.9771
7.025	-63.9607
7.05	-63.9444
7.075	-63.928
7.1	-63.9115
7.125	-63.895
7.15	-63.8785
7.175	-63.862
7.2	-63.8455
7.225	-63.8289
7.25	-63.8122
7.275	-63.7955
7.3	-63.7788
7.325	-63.762
7.35	-63.7452
7.375	-63.7283
7.4	-63.7114
7.425	-63.6944
7.45	-63.6774
7.475	-63.6604
7.5	-63.6433
7.525	-63.6262
7.55	-63.609
7.575	-63.5918
7.6	-63.5746
7.625	-63.5573
7.65	-63.54
7.675	-63.5227
7.7	-63.5054
7.725	-63.488
7.75	-63.4706
7.775	-63.4531
7.8	-63.4357
7.825	-63.4182
7.85	-63.4007
7.875	-63.3831
7.9	-63.3654
7.925	-63.3477
7.95	-63.3299
7.975	-63.312
8	-63.2941
8.025	-63.2762
8.05	-63.2581
8.075	-63.2401
8.1	-63.2219
8.125	-63.2038
8.15	-63.1856
8.175	-63.1673
8.2	-63.149
8.225	-63.1307
8.25	-63.1124
8.275	-63.094
8.3	-63.0757
8.325	-63.0573
8.35	-63.0389
8.375	-63.0204
8.4	-63.002
8.425	-62.9836
8.45	-62.9651
8.475	-62.9466
8.5	-62.9281
8.525	-62.9095
8.55	-62.8908
8.575	-62.8721
8.6	-62.8533
8.625	-62.8345
8.65	-62.8156
8.675	-62.7967
8.7	-62.7778
8.725	-62.7587
8.75	-62.7397
8.775	-62.7205
8.8	-62.7013
8.825	-62.682
8.85	-62.6627
8.875	-62.6433
8.9	-62.6239
8.925	-62.6044
8.95	-62.5849
8.975	-62.5653
9	-62.5457
9.025	-62.5261
9.05	-62.5065
9.075	-62.4868
9.1	-62.4671
9.125	-62.4474
9.15	-62.4276
9.175	-62.4079
9.2	-62.3881
9.225	-62.3683
9.25	-62.3485
9.275	-62.3287
9.3	-62.3089
9.325	-62.2892
9.35	-62.2694
9.375	-62.2496
9.4	-62.2298
9.425	-62.21
9.45	-62.1903
9.475	-62.1705
9.5	-62.1508
9.525	-62.1311
9.55	-62.1114
9.575	-62.0917
9.6	-62.0721
9.625	-62.0525
9.65	-62.0329
9.675	-62.0133
9.7	-61.9938
9.725	-61.9743
9.75	-61.9548
9.775	-61.9353
9.8	-61.9159
9.825	-61.8965
9.85	-61.8772
9.875	-61.8579
9.9	-61.8386
9.925	-61.8193
9.95	-61.8
9.975	-61.7807
10	-61.7614
10.025	-61.7421
10.05	-61.7227
10.075	-61.7034
10.1	-61.684
10.125	-61.6646
10.15	-61.6451
10.175	-61.6257
10.2	-61.6062
10.225	-61.5866
10.25	-61.5671
10.275	-61.5475
10.3	-61.5279
10.325	-61.5083
10.35	-61.4887
10.375	-61.4691
10.4	-61.4495
10.425	-61.4298
10.45	-61.4102
10.475	-61.3905
10.5	-61.3709
10.525	-61.3513
10.55	-61.3317
10.575	-61.312
10.6	-61.2924
10.625	-61.2728
10.65	-61.2533
10.675	-61.2337
10.7	-61.2142
10.725	-61.1947
10.75	-61.1752
10.775	-61.1558
10.8	-61.1363
10.825	-61.117
10.85	-61.0976
10.875	-61.0781
10.9	-61.0586
10.925	-61.0389
10.95	-61.0191
10.975	-60.9991
11	-60.9789
11.025	-60.9585
11.05	-60.9381
11.075	-60.9174
11.1	-60.8967
11.125	-60.8758
11.15	-60.8548
11.175	-60.8338
11.2	-60.8126
11.225	-60.7914
11.25	-60.77
