source	target	synapse
14991	1224	24
14991	1224	22
14991	1224	32
14991	1224	29
14991	1224	33
14991	1224	30
14991	1224	24
14885	1224	20
14885	1224	22
14885	1224	24
14885	1224	32
14885	1224	28
14885	1224	24
14885	1224	27
14885	1224	20
14885	1224	29
14885	1224	27
14954	1224	26
14954	1224	21
14954	1224	26
14954	1224	31
14954	1224	27
14954	1224	30
14954	1224	21
14954	1224	27
14954	1224	27
14954	1224	30
14957	1224	23
14957	1224	23
14957	1224	19
14957	1224	25
14957	1224	29
14957	1224	28
14957	1224	21
14957	1224	25
14957	1224	32
14957	1224	20
15068	1224	28
15068	1224	28
15068	1224	28
15068	1224	23
15068	1224	24
15068	1224	32
15068	1224	28
15068	1224	25
15068	1224	23
15068	1224	25
15098	1224	29
15098	1224	27
15098	1224	26
15098	1224	22
15098	1224	20
15098	1224	26
15098	1224	22
15098	1224	21
15098	1224	21
15098	1224	31
15026	1224	21
15026	1224	26
15026	1224	24
15026	1224	28
15026	1224	24
15026	1224	26
15026	1224	20
15026	1224	30
15026	1224	32
15026	1224	19
14813	1224	24
14813	1224	21
14813	1224	24
14813	1224	28
14813	1224	32
14813	1224	20
14813	1224	19
14813	1224	20
14813	1224	33
14813	1224	25
15838	1224	26
15838	1224	27
15838	1224	21
15838	1224	33
15838	1224	21
15838	1224	26
15838	1224	28
15838	1224	27
15838	1224	26
15838	1224	28
14480	1224	20
14480	1224	27
14480	1224	21
14480	1224	24
14480	1224	21
14480	1224	25
14480	1224	26
14480	1224	22
14480	1224	32
14480	1224	24
21070	1224	69
21070	1224	64
21070	1224	58
21070	1224	71
21070	1224	70
21070	1224	65
21070	1224	59
21070	1224	71
21070	1224	67
21070	1224	71
21087	1224	71
21087	1224	62
21087	1224	72
21087	1224	67
21087	1224	64
21087	1224	64
21087	1224	58
21087	1224	66
21087	1224	60
21087	1224	69
21115	1224	73
21115	1224	63
21115	1224	62
21115	1224	58
21115	1224	70
21115	1224	55
21115	1224	58
21115	1224	61
21115	1224	57
21115	1224	60
21102	1224	67
21102	1224	72
21102	1224	65
21102	1224	59
21102	1224	73
21102	1224	56
21102	1224	57
21102	1224	56
21102	1224	57
21102	1224	72
21050	1224	71
21050	1224	66
21050	1224	71
21050	1224	68
21050	1224	65
21050	1224	72
21050	1224	57
21050	1224	69
21050	1224	56
21050	1224	58
20987	1224	58
20987	1224	65
20987	1224	65
20987	1224	54
20987	1224	69
20987	1224	66
20987	1224	58
20987	1224	56
20987	1224	57
20987	1224	73
21086	1224	56
21086	1224	66
21086	1224	60
21086	1224	60
21086	1224	62
21086	1224	56
21086	1224	63
21086	1224	59
21086	1224	67
21086	1224	59
20911	1224	57
20911	1224	64
20911	1224	61
20911	1224	54
20911	1224	66
20911	1224	61
20911	1224	61
20911	1224	57
20911	1224	67
20911	1224	72
286036	1224	97
286036	1224	93
286036	1224	92
275763	1224	79
275763	1224	75
275763	1224	82
282032	1224	79
282032	1224	74
282032	1224	91
281981	1224	79
281981	1224	95
281981	1224	94
280869	1224	88
280869	1224	81
280869	1224	86
296946	1224	79
296946	1224	90
296946	1224	74
287182	1224	97
287182	1224	81
287182	1224	94
288289	1224	85
288289	1224	85
288289	1224	78
293597	1224	85
293597	1224	74
293597	1224	97
286048	1224	92
286048	1224	75
286048	1224	91
291875	1224	84
291875	1224	84
291875	1224	84
292865	1224	86
292865	1224	76
292865	1224	90
280292	1224	79
280292	1224	76
280292	1224	74
284886	1224	91
284886	1224	86
284886	1224	80
296366	1224	87
296366	1224	94
296366	1224	75
297124	1224	86
297124	1224	79
297124	1224	84
283119	1224	80
283119	1224	74
283119	1224	93
299896	1224	97
299896	1224	93
299896	1224	87
290624	1224	90
290624	1224	80
290624	1224	81
300404	1224	95
300404	1224	82
300404	1224	85
282042	1224	74
282042	1224	85
282042	1224	86
294078	1224	87
294078	1224	74
294078	1224	74
285033	1224	80
285033	1224	95
285033	1224	76
282733	1224	78
282733	1224	77
282733	1224	91
288358	1224	96
288358	1224	81
288358	1224	78
303254	1224	86
303254	1224	91
303254	1224	93
277415	1224	90
277415	1224	76
277415	1224	78
302157	1224	77
302157	1224	92
302157	1224	82
303887	1224	81
303887	1224	77
303887	1224	80
287261	1224	74
287261	1224	97
287261	1224	91
282613	1224	88
282613	1224	97
282613	1224	81
275769	1224	74
275769	1224	83
275769	1224	87
277503	1224	84
277503	1224	87
277503	1224	93
284470	1224	81
284470	1224	97
284470	1224	81
287168	1224	84
287168	1224	86
287168	1224	84
278075	1224	76
278075	1224	84
278075	1224	80
285039	1224	95
285039	1224	78
285039	1224	96
291339	1224	86
291339	1224	96
291339	1224	86
296326	1224	75
296326	1224	79
296326	1224	83
282002	1224	81
282002	1224	94
282002	1224	82
300467	1224	92
300467	1224	94
300467	1224	97
297494	1224	92
297494	1224	94
297494	1224	80
297041	1224	83
297041	1224	91
297041	1224	77
301706	1224	74
301706	1224	95
301706	1224	89
287909	1224	89
287909	1224	90
287909	1224	95
296355	1224	86
296355	1224	85
296355	1224	84
294825	1224	78
294825	1224	82
294825	1224	83
297613	1224	85
297613	1224	94
297613	1224	86
297486	1224	94
297486	1224	77
297486	1224	80
289562	1224	93
289562	1224	77
289562	1224	81
296412	1224	82
296412	1224	82
296412	1224	88
296942	1224	96
296942	1224	78
296942	1224	77
303408	1224	82
303408	1224	82
303408	1224	84
282160	1224	97
282160	1224	80
282160	1224	88
278086	1224	95
278086	1224	82
278086	1224	97
284327	1224	83
284327	1224	77
284327	1224	84
279771	1224	97
279771	1224	76
279771	1224	97
295379	1224	84
295379	1224	76
295379	1224	91
279776	1224	87
279776	1224	74
279776	1224	91
280905	1224	86
280905	1224	79
280905	1224	86
299915	1224	91
299915	1224	83
299915	1224	78
291718	1224	78
291718	1224	87
291718	1224	96
289532	1224	93
289532	1224	82
289532	1224	86
299260	1224	75
299260	1224	83
299260	1224	82
283210	1224	95
283210	1224	95
283210	1224	80
294058	1224	81
294058	1224	90
294058	1224	80
279163	1224	89
279163	1224	96
279163	1224	89
284921	1224	84
284921	1224	92
284921	1224	81
294080	1224	96
294080	1224	84
294080	1224	94
280428	1224	94
280428	1224	76
280428	1224	74
287221	1224	81
287221	1224	82
287221	1224	93
299242	1224	91
299242	1224	85
299242	1224	89
287878	1224	96
287878	1224	88
287878	1224	91
305693	1224	84
305693	1224	75
305693	1224	83
301595	1224	80
301595	1224	81
301595	1224	92
287809	1224	86
287809	1224	76
287809	1224	87
305634	1224	92
305634	1224	74
305634	1224	82
288861	1224	95
288861	1224	78
288861	1224	76
279107	1224	86
279107	1224	80
279107	1224	83
280283	1224	80
280283	1224	91
280283	1224	77
277481	1224	88
277481	1224	88
277481	1224	95
292468	1224	89
292468	1224	90
292468	1224	79
288326	1224	74
288326	1224	81
288326	1224	81
290764	1224	85
290764	1224	80
290764	1224	83
301640	1224	81
301640	1224	74
301640	1224	76
291355	1224	83
291355	1224	76
291355	1224	74
302185	1224	97
302185	1224	84
302185	1224	94
292947	1224	97
292947	1224	74
292947	1224	92
278590	1224	90
278590	1224	91
278590	1224	85
301691	1224	80
301691	1224	78
301691	1224	96
284376	1224	94
284376	1224	88
