0.154 351143
0.328 456371
0.556 384245
0.730 407293
0.741 410275
1.635 386452
1.715 365623
2.542 345488
2.753 347773
2.840 419301
3.128 345915
3.268 398776
3.485 361086
3.986 419991
4.285 345917
4.574 464739
4.636 377879
5.183 426799
5.387 346296
6.428 383751
7.019 377445
7.471 339873
7.579 348578
8.049 396331
8.664 400619
9.034 382487
9.039 350373
9.724 358726
9.911 338815
9.914 359831
10.034 459094
10.070 395804
10.075 3799
10.375 3727
10.516 371120
10.555 542648
10.588 375942
11.049 423933
11.211 339637
11.212 400053
11.353 348818
11.475 3822
11.550 3802
11.594 424482
11.650 3803
11.825 3877
11.956 416786
11.956 418828
12.225 3718
12.650 3771
12.750 332819
12.975 3698
13.084 352689
13.107 412929
13.131 366449
13.325 3850
13.365 344985
13.625 332917
13.670 398494
13.675 332891
13.725 332889
13.887 401750
14.050 332866
14.250 333011
14.442 463687
14.458 413252
14.475 333096
14.475 3783
14.528 344891
14.625 333098
14.647 383417
14.650 333066
14.825 332976
15.200 333132
15.325 338357
15.400 333397
15.475 16147
15.600 332858
15.802 398128
16.443 345780
17.318 455005
17.425 332887
17.425 35454
17.550 16388
17.787 352772
17.849 373097
17.961 394255
18.199 391908
18.250 16189
18.920 341644
19.033 356013
19.519 345404
19.600 34529
19.850 16270
19.925 416079
20.386 379336
20.550 16310
20.575 35379
20.800 16115
21.150 37792
21.400 38992
21.550 35503
21.584 422140
21.650 26120
22.150 16164
22.280 349999
22.375 37825
22.595 403326
22.701 360403
22.995 362875
23.063 390047
23.150 29200
23.350 28698
23.365 425160
23.625 33884
23.816 358234
23.825 25116
24.038 406721
24.075 40099
24.097 354233
24.210 418984
24.275 16106
24.275 40006
24.325 32685
24.350 37266
24.400 21635
24.402 348474
24.450 33232
24.525 34425
24.538 339365
24.550 25743
24.600 41204
24.850 30246
24.925 28661
24.980 418744
25.150 30937
25.225 16147
25.325 21719
25.375 23489
25.550 332889
25.550 40171
25.725 36021
25.775 38351
25.909 367800
26.000 1524
26.050 29810
26.050 3783
26.101 367695
26.175 26749
26.225 29743
26.261 502172
26.279 394903
26.279 396936
26.300 24600
26.400 34234
26.400 3698
26.400 38814
26.425 22837
26.450 28619
26.450 66588
26.475 39520
26.478 363190
26.525 35592
26.550 42380
26.575 28088
26.600 45273
26.650 27323
26.700 31242
26.700 38952
26.725 34242
26.775 26953
26.800 35494
26.800 55186
26.850 25769
26.875 56191
26.900 36116
26.950 27549
26.950 36429
