source	target	synapse
2549	2570	0
2549	2570	10
2549	2570	7
2549	2570	11
2549	2570	1
2549	2570	4
2549	2570	2
2549	2570	2
2549	2570	9
2549	2570	12
2638	2570	13
2638	2570	1
2638	2570	6
2638	2570	8
2638	2570	1
2638	2570	2
2638	2570	13
2638	2570	11
2638	2570	5
2638	2570	8
2660	2570	14
2660	2570	9
2660	2570	5
2660	2570	11
2660	2570	11
2660	2570	11
2660	2570	0
2660	2570	9
2660	2570	13
2660	2570	13
2592	2570	11
2592	2570	1
2592	2570	6
2592	2570	0
2592	2570	6
2592	2570	5
2592	2570	10
2592	2570	12
2592	2570	12
2592	2570	5
2504	2570	7
2504	2570	9
2504	2570	2
2504	2570	14
2504	2570	7
2504	2570	8
2504	2570	14
2504	2570	3
2504	2570	7
2504	2570	3
2616	2570	6
2616	2570	11
2616	2570	0
2616	2570	12
2616	2570	1
2616	2570	4
2616	2570	7
2616	2570	7
2616	2570	6
2616	2570	7
2571	2570	14
2571	2570	0
2571	2570	2
2571	2570	0
2571	2570	3
2571	2570	8
2571	2570	6
2571	2570	0
2571	2570	1
2571	2570	10
2596	2570	8
2596	2570	12
2596	2570	5
2596	2570	6
2596	2570	8
2596	2570	1
2596	2570	6
2596	2570	14
2596	2570	5
2596	2570	11
2505	2570	12
2505	2570	6
2505	2570	12
2505	2570	5
2505	2570	14
2505	2570	14
2505	2570	1
2505	2570	9
2505	2570	9
2505	2570	0
2593	2570	13
2593	2570	12
2593	2570	3
2593	2570	1
2593	2570	7
2593	2570	9
2593	2570	4
2593	2570	11
2593	2570	3
2593	2570	6
2639	2570	12
2639	2570	11
2639	2570	7
2639	2570	12
2639	2570	13
2639	2570	9
2639	2570	7
2639	2570	2
2639	2570	0
2639	2570	5
2614	2570	4
2614	2570	1
2614	2570	7
2614	2570	2
2614	2570	9
2614	2570	6
2614	2570	9
2614	2570	10
2614	2570	12
2614	2570	6
2551	2570	14
2551	2570	12
2551	2570	0
2551	2570	4
2551	2570	8
2551	2570	10
2551	2570	12
2551	2570	13
2551	2570	4
2551	2570	9
2506	2570	6
2506	2570	13
2506	2570	12
2506	2570	7
2506	2570	11
2506	2570	14
2506	2570	11
2506	2570	6
2506	2570	13
2506	2570	8
2394	2570	11
2394	2570	0
2394	2570	9
2394	2570	5
2394	2570	9
2394	2570	2
2394	2570	2
2394	2570	3
2394	2570	5
2394	2570	2
2511	2570	10
2511	2570	0
2511	2570	11
2511	2570	7
2511	2570	11
2511	2570	9
2511	2570	4
2511	2570	11
2511	2570	0
2511	2570	2
5372	2570	18
5372	2570	16
5372	2570	17
5372	2570	17
5372	2570	15
5372	2570	18
5372	2570	15
5372	2570	15
5581	2570	17
5581	2570	15
5581	2570	17
5581	2570	18
5581	2570	18
5581	2570	18
5581	2570	15
5581	2570	17
5500	2570	16
5500	2570	15
5500	2570	18
5500	2570	15
5500	2570	15
5500	2570	18
5500	2570	15
5500	2570	15
5530	2570	16
5530	2570	16
5530	2570	16
5530	2570	18
5530	2570	16
5530	2570	18
5530	2570	16
5530	2570	18
5451	2570	18
5451	2570	15
5451	2570	18
5451	2570	17
5451	2570	16
5451	2570	17
5451	2570	15
5451	2570	17
5475	2570	15
5475	2570	17
5475	2570	17
5475	2570	16
5475	2570	15
5475	2570	16
5475	2570	18
5475	2570	15
5479	2570	15
5479	2570	18
5479	2570	18
5479	2570	16
5479	2570	16
5479	2570	17
5479	2570	16
5479	2570	16
5449	2570	17
5449	2570	15
5449	2570	18
5449	2570	18
5449	2570	15
5449	2570	17
5449	2570	16
5449	2570	15
5448	2570	15
5448	2570	15
5448	2570	15
5448	2570	18
5448	2570	17
5448	2570	15
5448	2570	18
5448	2570	15
5604	2570	15
5604	2570	17
5604	2570	17
5604	2570	15
5604	2570	17
5604	2570	15
5604	2570	15
5604	2570	16
5404	2570	15
5404	2570	17
5404	2570	16
5404	2570	18
5404	2570	17
5404	2570	17
5404	2570	16
5404	2570	18
5767	2570	17
