axoaxoniccell bistratifiedcell 0 15
axoaxoniccell cckcell 16 18
axoaxoniccell ivycell 19 34
axoaxoniccell ngfcell 35 54
axoaxoniccell olmcell 55 74
axoaxoniccell pyramidalcell 75 98
axoaxoniccell pvbasketcell 99 99
axoaxoniccell scacell 100 115
axoaxoniccell ca3cell 116 131
axoaxoniccell eccell 132 157
