source	target	synapse
3466	338054	0
3466	338054	9
3466	338054	3
3466	338054	10
3466	338054	6
3466	338054	0
3466	338054	6
3466	338054	11
3466	338054	6
3466	338054	8
3469	338054	12
3469	338054	2
3469	338054	5
3469	338054	13
3469	338054	9
3469	338054	14
3469	338054	10
3469	338054	10
3469	338054	1
3469	338054	12
3575	338054	5
3575	338054	14
3575	338054	1
3575	338054	5
3575	338054	0
3575	338054	9
3575	338054	13
3575	338054	9
3575	338054	13
3575	338054	3
3577	338054	13
3577	338054	7
3577	338054	3
3577	338054	1
3577	338054	2
3577	338054	0
3577	338054	0
3577	338054	2
3577	338054	4
3577	338054	8
3491	338054	0
3491	338054	11
3491	338054	8
3491	338054	12
3491	338054	13
3491	338054	12
3491	338054	10
3491	338054	10
3491	338054	4
3491	338054	2
3470	338054	2
3470	338054	14
3470	338054	11
3470	338054	10
3470	338054	4
3470	338054	12
3470	338054	9
3470	338054	4
3470	338054	12
3470	338054	2
3530	338054	2
3530	338054	12
3530	338054	12
3530	338054	4
3530	338054	3
3530	338054	8
3530	338054	5
3530	338054	14
3530	338054	11
3530	338054	10
3489	338054	12
3489	338054	9
3489	338054	9
3489	338054	1
3489	338054	8
3489	338054	14
3489	338054	2
3489	338054	9
3489	338054	13
3489	338054	11
3622	338054	10
3622	338054	12
3622	338054	5
3622	338054	0
3622	338054	2
3622	338054	4
3622	338054	12
3622	338054	0
3622	338054	8
3622	338054	3
3465	338054	9
3465	338054	2
3465	338054	11
3465	338054	2
3465	338054	2
3465	338054	6
3465	338054	13
3465	338054	13
3465	338054	3
3465	338054	5
3468	338054	0
3468	338054	10
3468	338054	12
3468	338054	11
3468	338054	4
3468	338054	0
3468	338054	6
3468	338054	11
3468	338054	11
3468	338054	7
3508	338054	7
3508	338054	12
3508	338054	9
3508	338054	11
3508	338054	5
3508	338054	5
3508	338054	5
3508	338054	9
3508	338054	11
3508	338054	1
3596	338054	4
3596	338054	9
3596	338054	3
3596	338054	10
3596	338054	6
3596	338054	0
3596	338054	0
3596	338054	4
3596	338054	5
3596	338054	5
3532	338054	7
3532	338054	12
3532	338054	11
3532	338054	14
3532	338054	8
3532	338054	12
3532	338054	6
3532	338054	7
3532	338054	4
3532	338054	6
3401	338054	14
3401	338054	12
3401	338054	11
3401	338054	14
3401	338054	2
3401	338054	1
3401	338054	8
3401	338054	14
3401	338054	12
3401	338054	0
3336	338054	0
3336	338054	1
3336	338054	13
3336	338054	0
3336	338054	8
3336	338054	2
3336	338054	8
3336	338054	12
3336	338054	1
3336	338054	11
6923	338054	16
6923	338054	16
6923	338054	16
6923	338054	17
6923	338054	17
6923	338054	15
6923	338054	16
6923	338054	18
7054	338054	18
7054	338054	15
7054	338054	17
7054	338054	16
7054	338054	17
7054	338054	18
7054	338054	17
7054	338054	15
7027	338054	16
7027	338054	17
7027	338054	15
7027	338054	16
7027	338054	17
