t	v
0	-66.9688
0.025	-66.9689
0.05	-66.969
0.075	-66.9691
0.1	-66.9691
0.125	-66.9692
0.15	-66.9693
0.175	-66.9694
0.2	-66.9695
0.225	-66.9695
0.25	-66.9696
0.275	-66.9697
0.3	-66.9698
0.325	-66.9699
0.35	-66.9699
0.375	-66.97
0.4	-66.9701
0.425	-66.9702
0.45	-66.9702
0.475	-66.9703
0.5	-66.9704
0.525	-66.9705
0.55	-66.9706
0.575	-66.9706
0.6	-66.9707
0.625	-66.9708
0.65	-66.9709
0.675	-66.9709
0.7	-66.971
0.725	-66.9711
0.75	-66.9712
0.775	-66.9712
0.8	-66.9713
0.825	-66.9714
0.85	-66.9715
0.875	-66.9715
0.9	-66.9716
0.925	-66.9717
0.95	-66.9718
0.975	-66.9718
1	-66.9719
1.025	-66.972
1.05	-66.9721
1.075	-66.9721
1.1	-66.9722
1.125	-66.9723
1.15	-66.9724
1.175	-66.9724
1.2	-66.9725
1.225	-66.9726
1.25	-66.9727
1.275	-66.9727
1.3	-66.9728
1.325	-66.9729
1.35	-66.9729
1.375	-66.973
1.4	-66.9731
1.425	-66.9732
1.45	-66.9732
1.475	-66.9733
1.5	-66.9734
1.525	-66.9735
1.55	-66.9735
1.575	-66.9736
1.6	-66.9737
1.625	-66.9737
1.65	-66.9738
1.675	-66.9739
1.7	-66.974
1.725	-66.974
1.75	-66.9741
1.775	-66.9742
1.8	-66.9742
1.825	-66.9743
1.85	-66.9744
1.875	-66.9745
1.9	-66.9745
1.925	-66.9746
1.95	-66.9747
1.975	-66.9747
2	-66.9748
2.025	-66.9749
2.05	-66.9749
2.075	-66.975
2.1	-66.9751
2.125	-66.9752
2.15	-66.9752
2.175	-66.9753
2.2	-66.9754
2.225	-66.9754
2.25	-66.9755
2.275	-66.9756
2.3	-66.9756
2.325	-66.9757
2.35	-66.9758
2.375	-66.9758
2.4	-66.9759
2.425	-66.976
2.45	-66.9761
2.475	-66.9761
2.5	-66.9762
2.525	-66.9763
2.55	-66.9763
2.575	-66.9764
2.6	-66.9765
2.625	-66.9765
2.65	-66.9766
2.675	-66.9767
2.7	-66.9767
2.725	-66.9768
2.75	-66.9769
2.775	-66.9769
2.8	-66.977
2.825	-66.9771
2.85	-66.9771
2.875	-66.9772
2.9	-66.9773
2.925	-66.9773
2.95	-66.9774
2.975	-66.9775
3	-66.9775
3.025	-66.9776
3.05	-66.9777
3.075	-66.9777
3.1	-66.9778
3.125	-66.9779
3.15	-66.9779
3.175	-66.978
3.2	-66.9779
3.225	-66.9778
3.25	-66.9777
3.275	-66.9774
3.3	-66.9771
3.325	-66.9768
3.35	-66.9764
3.375	-66.9759
3.4	-66.9753
3.425	-66.9746
3.45	-66.9738
3.475	-66.973
3.5	-66.972
3.525	-66.9709
3.55	-66.9697
3.575	-66.9683
3.6	-66.9669
3.625	-66.9654
3.65	-66.9637
3.675	-66.9619
3.7	-66.9601
3.725	-66.9581
3.75	-66.956
3.775	-66.9538
3.8	-66.9515
3.825	-66.9491
3.85	-66.9467
3.875	-66.9441
3.9	-66.9413
3.925	-66.9385
3.95	-66.9355
3.975	-66.9323
4	-66.9291
4.025	-66.9257
4.05	-66.9221
4.075	-66.9185
4.1	-66.9147
4.125	-66.9108
4.15	-66.9067
4.175	-66.9025
4.2	-66.8982
4.225	-66.8938
4.25	-66.8892
4.275	-66.8845
4.3	-66.8797
4.325	-66.8748
4.35	-66.8698
4.375	-66.8647
4.4	-66.8594
4.425	-66.8541
4.45	-66.8486
4.475	-66.8431
4.5	-66.8374
4.525	-66.8317
4.55	-66.8259
4.575	-66.8199
4.6	-66.8139
4.625	-66.8078
4.65	-66.8016
4.675	-66.7953
4.7	-66.7889
4.725	-66.7825
4.75	-66.776
4.775	-66.7694
4.8	-66.7627
4.825	-66.756
4.85	-66.7491
4.875	-66.7423
4.9	-66.7353
4.925	-66.7283
4.95	-66.7212
4.975	-66.7141
5	-66.7069
5.025	-66.6996
5.05	-66.6923
5.075	-66.6849
5.1	-66.6773
5.125	-66.6697
5.15	-66.662
5.175	-66.6542
5.2	-66.6462
5.225	-66.6382
5.25	-66.6301
5.275	-66.6219
5.3	-66.6136
5.325	-66.6052
5.35	-66.5967
5.375	-66.5881
5.4	-66.5794
5.425	-66.5706
5.45	-66.5617
5.475	-66.5525
5.5	-66.5432
5.525	-66.5338
5.55	-66.5241
5.575	-66.5143
5.6	-66.5043
5.625	-66.4942
5.65	-66.484
5.675	-66.4736
5.7	-66.463
5.725	-66.4523
5.75	-66.4414
5.775	-66.4303
5.8	-66.419
5.825	-66.4076
5.85	-66.3959
5.875	-66.3841
5.9	-66.3721
5.925	-66.3599
5.95	-66.3475
5.975	-66.335
6	-66.3224
6.025	-66.3095
6.05	-66.2965
6.075	-66.2832
6.1	-66.2697
6.125	-66.2561
6.15	-66.2422
6.175	-66.2281
6.2	-66.2139
6.225	-66.1994
6.25	-66.1848
6.275	-66.1701
6.3	-66.1551
6.325	-66.14
6.35	-66.1248
6.375	-66.1094
6.4	-66.0939
6.425	-66.0782
6.45	-66.0624
6.475	-66.0465
6.5	-66.0304
6.525	-66.0143
6.55	-65.998
6.575	-65.9816
6.6	-65.9651
6.625	-65.9484
6.65	-65.9315
6.675	-65.9144
6.7	-65.8972
6.725	-65.8799
6.75	-65.8624
6.775	-65.8447
6.8	-65.8269
6.825	-65.809
6.85	-65.7909
6.875	-65.7727
6.9	-65.7544
6.925	-65.7359
6.95	-65.7174
6.975	-65.6987
7	-65.68
7.025	-65.6611
7.05	-65.6421
7.075	-65.623
7.1	-65.6037
7.125	-65.5843
7.15	-65.5646
7.175	-65.5448
7.2	-65.5248
7.225	-65.5046
7.25	-65.4842
7.275	-65.4636
7.3	-65.4428
7.325	-65.4219
7.35	-65.4007
7.375	-65.3794
7.4	-65.3578
