secname	pos	x	y	z	dist	diam	cm	Ra	gmax_ch_CavL	gmax_ch_CavN	gmax_ch_HCN	gmax_ch_HCNolm	gmax_ch_HCNp	gmax_ch_KCaS	gmax_ch_Kdrfast	gmax_ch_Kdrfastngf	gmax_ch_Kdrp	gmax_ch_Kdrslow	gmax_ch_KvAdistp	gmax_ch_KvA	gmax_ch_KvAngf	gmax_ch_KvAolm	gmax_ch_KvAproxp	gmax_ch_KvCaB	gmax_ch_KvGroup	gmax_ch_KvM	gmax_ch_leak	gmax_ch_Navaxonp	gmax_ch_Navbis	gmax_ch_Navcck	gmax_ch_Nav	gmax_ch_Navngf	gmax_ch_Navp
poolosyncell[0].soma[4]	0.5	282.444	583.548	115	4.06308	8.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[4]	1	282.444	583.548	115	4.57855	8.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[5]	0	282.444	584.579	115	4.57855	9	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[5]	0.5	282.444	584.579	115	7.12341	9	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[5]	1	282.444	584.579	115	9.66827	9	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[6]	0	282.444	589.668	115	9.66827	8.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[6]	0.5	282.444	589.668	115	10.749	8.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[6]	1	282.444	589.668	115	11.8297	8.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[7]	0	282.444	591.83	115	11.8297	7.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[7]	0.5	282.444	591.83	115	12.5256	7.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[7]	1	282.444	591.83	115	13.2214	7.4	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[8]	0	282.444	593.221	115	13.2214	7	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[8]	0.5	282.444	593.221	115	13.5837	7	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[8]	1	282.444	593.221	115	13.946	7	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[9]	0	282.444	593.946	115	13.946	6.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[9]	0.5	282.444	593.946	115	14.4567	6.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[9]	1	282.444	593.946	115	14.9674	6.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[10]	0	282.444	594.967	115	14.9674	5.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[10]	0.5	282.444	594.967	115	15.3851	5.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[10]	1	282.444	594.967	115	15.8029	5.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[11]	0	282.444	595.803	115	15.8029	4.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[11]	0.5	282.444	595.803	115	16.1278	4.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[11]	1	282.444	595.803	115	16.4528	4.8	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[12]	0	282.444	596.453	115	16.4528	4.2	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[12]	0.5	282.444	596.453	115	17.4265	4.2	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].soma[12]	1	282.444	596.453	115	18.4003	4.2	1	150	0	0	0	0	0.0006	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
poolosyncell[0].basal[0]	0	282.444	580	115	0	0.8	2	150	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.032
