t	axoaxoniccell	bistratifiedcell	cckcell	ivycell	ngfcell	olmcell	pyramidalcell	pvbasketcell	scacell	ca3cell	eccell
133.625	0	292.589	113.356	0.275479	0	2.14433	-36.8188	113.153	0.0020728	-480.564	0
133.65	0	304.537	123.593	0.326543	0	1.94958	-37.3751	117.9	0.0023043	-464.63	0
133.675	0	319.053	132.699	0.396362	0	1.76683	-36.2268	122.744	0.00255379	-443.022	0
133.7	0	331.12	138.569	0.45581	0	1.59794	-34.0827	126.524	0.00278682	-422.23	0
133.725	0	336.15	140.845	0.477685	0	1.44353	-31.4914	127.71	0.00297018	-409.974	0
133.75	0	336.647	140.692	0.480629	0	1.30329	-28.7527	126.772	0.00309906	-403.734	0
133.775	0	335.425	139.556	0.478537	0	1.17625	-29.4019	125.044	0.00319314	-399.064	0
133.8	0	334.026	138.19	0.475053	0	1.06146	-28.5944	123.041	0.00327719	-393.352	0
133.825	0	333.372	136.918	0.471469	0	0.958491	-26.9207	120.961	0.00337001	-385.544	0
133.85	0	334.027	135.913	0.468084	0	0.867285	-24.7983	118.889	0.00348409	-375.778	0
133.875	0	336.22	135.191	0.464696	0	0.787811	-22.4991	116.849	0.00362963	-364.666	0
133.9	0	339.645	134.561	0.461103	0	0.719958	-21.7013	114.819	0.0038171	-352.034	0
133.925	0	343.553	133.757	0.4574	0	0.669197	-19.901	112.766	0.00405696	-337.129	0
133.95	0	347.216	132.654	0.453761	0	0.632086	-21.3141	110.666	0.00435491	-321.005	0
133.975	0	350.112	131.303	0.450075	0	0.615291	-20.9946	108.516	0.00470086	-307.812	0
134	0	351.51	129.705	0.44594	0	0.611807	-19.816	106.305	0.00505803	-300.587	0
134.025	0	350.709	127.782	0.440993	0	0.621003	-18.102	104.009	0.00537614	-298.089	0
134.05	0	347.578	125.495	0.435172	0	0.644448	-16.3105	101.621	0.00562423	-298.19	0
134.075	0	342.576	122.899	0.428603	0	0.684371	-14.8082	99.1561	0.00580576	-300.244	0
134.1	0	336.326	120.09	0.421474	0	0.743287	-13.3854	96.6411	0.00594588	-303.811	0
134.125	0	329.375	117.158	0.414026	0	0.826602	-11.9446	95.4218	0.00607175	-308.158	0
134.15	0	322.078	114.138	0.406498	0	0.943333	-10.5434	93.7389	0.0062043	-313.145	0
134.175	0	314.661	111.1	0.399096	0	1.09931	-9.29836	91.7918	0.00635941	-318.118	0
134.2	0	307.285	108.073	0.391987	0	1.30068	-8.18108	89.6557	0.00655145	-322.899	0
134.225	0	300.063	105.07	0.385308	0	1.57731	-7.11651	87.3964	0.00679647	-327.312	0
134.25	0	293.105	102.102	0.379219	0	1.96826	-6.11735	85.0529	0.00711456	-331.123	0
134.275	0	286.529	99.1771	0.373916	0	2.46938	-5.28162	82.6539	0.00753033	-334.057	0
134.3	0	280.478	96.3151	0.369619	0	3.07726	-4.57425	80.2189	0.00806791	-336.182	0
134.325	0	275.053	93.536	0.366491	0	3.6745	-3.94029	77.7821	0.00873202	-336.986	0
134.35	0	270.15	90.8557	0.364387	0	4.13935	-3.36894	75.359	0.00946952	-336.977	0
134.375	0	265.309	88.2469	0.362603	0	4.57606	-2.85551	72.9482	0.0101441	-337.105	0
134.4	0	259.864	85.64	0.360056	0	4.89693	-2.43662	70.5317	0.0106246	-338.745	0
134.425	0	253.356	82.9649	0.355941	0	5.07337	-2.1	68.0834	0.0108663	-342.686	0
134.45	0	245.745	80.179	0.35011	0	5.20547	-1.817	65.5783	0.010915	-348.862	0
134.475	0	237.256	77.2704	0.342935	0	5.31145	-1.58204	62.9992	0.0108379	-356.801	0
134.5	0	228.125	74.2392	0.334889	0	5.4088	-1.38089	60.3367	0.0106847	-366.03	0
134.525	0	221.069	71.0802	0.326263	0	5.5227	-1.21485	57.5804	0.0104862	-376.218	0
134.55	0	212.411	67.7423	0.316288	0	5.66409	-1.07534	54.7098	0.0102516	-387.983	0
